0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/resources/scripts/jquery-ui-1.8.16.custom.min-1.js HTTP/1.1" 200 210463
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/resources/scripts/jquery-1.6.4.min-1.js HTTP/1.1" 200 91669
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 40757
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/plugins/jQuery/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/plugins/fastclick/fastclick.js HTTP/1.1" 200 25965
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/dist/js/demo.js HTTP/1.1" 200 17319
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/dist/js/app.min.js HTTP/1.1" 200 9774
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/resources/scripts/smooth-1.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/js/jquery.js HTTP/1.1" 200 282988
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:26 -0700] "GET /DDOSFullProject/dist/img/3003.jpg HTTP/1.1" 200 81506
127.0.0.1 - - [26/Mar/2018:12:56:41 -0700] "GET /ProxyServer/ProxyServlet?ipaddress=0:0:0:0:0:0:0:1&hostName=0:0:0:0:0:0:0:1 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "POST /DDOSFullProject/LoginUser1 HTTP/1.1" 302 -
127.0.0.1 - - [26/Mar/2018:12:56:42 -0700] "GET /ProxyServer/ProxyServlet?ipaddress=0:0:0:0:0:0:0:1&hostName=0:0:0:0:0:0:0:1 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/Login.jsp HTTP/1.1" 200 6071
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/resources/css/style.css HTTP/1.1" 200 80233
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121298
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/dist/css/AdminLTE.min.css HTTP/1.1" 200 90157
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/js/jquery.js HTTP/1.1" 200 282988
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/resources/scripts/jquery-1.6.4.min-1.js HTTP/1.1" 200 91669
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 40757
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/resources/scripts/smooth-1.js HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/resources/scripts/jquery-ui-1.8.16.custom.min-1.js HTTP/1.1" 200 210463
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/plugins/jQuery/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [26/Mar/2018:12:56:42 -0700] "GET /DDOSFullProject/dist/js/app.min.js HTTP/1.1" 200 9774
